,tabpfn_ausreisser_wert,tabpfn_ausreisser_wert_norm
319,403167.9,1.0452504e-17
320,4890399.5,2.0333232e-16
321,7802785.5,3.2851876e-16
322,17131508.0,7.2950596e-16
323,97115840.0,4.167564e-15
324,10804954000.0,4.6443486e-13
325,230778690.0,9.912948e-15
326,855633.75,2.990136e-17
327,794811100.0,3.41574e-14
328,10875818.0,4.6061043e-16
329,320714340.0,1.3778755e-14
330,2087425500.0,8.971933e-14
331,32244766.0,1.3791365e-15
332,690553.3,2.2805522e-17
333,4511897600.0,1.939332e-13
334,22069030.0,9.417412e-16
335,671469100000.0,2.8862518e-11
336,912252530000.0,3.921239e-11
337,28839470000.0,1.2396332e-12
338,16698344.0,7.1088675e-16
339,414638.9,1.0945575e-17
340,1020836.5,3.7002462e-17
341,11745256000.0,5.0485294e-13
342,185801300000.0,7.986503e-12
343,405685280.0,1.7431157e-14
344,2761482500.0,1.186931e-13
345,296727900.0,1.2747719e-14
346,142035280.0,6.0983878e-15
347,121838400.0,5.230242e-15
348,285893500.0,1.2282012e-14
349,408939400000.0,1.7577904e-11
350,9287698.0,3.9234646e-16
351,229051.39,2.9682533e-18
352,1268676900.0,5.4526116e-14
353,35896956.0,1.5361226e-15
354,3134898.2,1.278736e-16
355,8570121.0,3.6150202e-16
356,407874600.0,1.7525264e-14
357,14345454000.0,6.166202e-13
358,2518147.8,1.0136311e-16
359,116109470000.0,4.9908597e-12
360,1843331.9,7.2356724e-17
361,923289.5,3.2809487e-17
362,281694430.0,1.2101518e-14
363,1633423.6,6.3334e-17
364,5339320.5,2.2262882e-16
365,98632296.0,4.2327477e-15
366,244583.58,3.6358914e-18
367,241239.67,3.4921564e-18
368,904438800.0,3.886965e-14
369,194938.19,1.5019267e-18
370,440850970000.0,1.8949595e-11
371,731769300.0,3.14476e-14
372,232300740.0,9.978372e-15
373,42305350.0,1.8115822e-15
374,2746300.8,1.1117007e-16
375,1974472600.0,8.486414e-14
376,725924.44,2.4325916e-17
377,204226.3,1.901168e-18
378,152354670.0,6.541958e-15
379,27562862.0,1.1778889e-15
380,19095134.0,8.1391073e-16
381,25822170000.0,1.1099371e-12
382,392533760.0,1.686585e-14
383,2661697.2,1.07533466e-16
384,1161686.1,4.3056763e-17
385,366158940.0,1.5732151e-14
386,1456202200.0,6.2586736e-14
387,183453.62,1.0082728e-18
388,2439163.2,9.796803e-17
389,202669.73,1.8342606e-18
390,12320265.0,5.2269874e-16
391,14599523.0,6.206707e-16
392,3552751.8,1.4583468e-16
393,280112.66,5.1630786e-18
394,3790181.8,1.5604041e-16
395,131421370.0,5.642158e-15
396,15936420.0,6.781361e-16
397,535028300000.0,2.2997729e-11
398,8643175000.0,3.7151264e-13
399,999826.06,3.6099346e-17
400,286557.25,5.440094e-18
401,2222889.2,8.867167e-17
402,1234084.4,4.616874e-17
403,2200757.2,8.7720347e-17
404,104066080000.0,4.473185e-12
405,240016.42,3.4395758e-18
406,12848989000.0,5.5229595e-13
407,3386006300.0,1.4553772e-13
408,555419.56,1.699691e-17
409,18139165000.0,7.796896e-13
410,361992.78,8.682625e-18
411,551437.8,1.6825759e-17
412,10284781.0,4.352052e-16
413,9333405.0,3.9431112e-16
414,8002574.0,3.371065e-16
415,7123481000.0,3.061899e-13
416,5235628600000.0,2.2504903e-10
417,1532220.0,5.898385e-17
418,332746.5,7.4254994e-18
419,341851.72,7.81688e-18
420,1490233000.0,6.4049514e-14
421,550206.56,1.6772834e-17
422,1699517.9,6.6175e-17
423,381277860000.0,1.6388897e-11
424,134291740000000.0,5.772416e-09
425,988078.8,3.55944e-17
426,340126430.0,1.4613167e-14
427,495497.88,1.4421229e-17
428,7301445.5,3.0696908e-16
429,11793803.0,5.0006925e-16
430,218168.31,2.5004537e-18
431,1340833.2,5.075725e-17
432,7933386.5,3.3413253e-16
433,241343.39,3.496615e-18
434,545313.5,1.656251e-17
435,48738693000.0,2.0949841e-12
436,275477.1,4.9638223e-18
437,317875.34,6.7862758e-18
438,864539.2,3.0284154e-17
439,166476460.0,7.148972e-15
440,1874078.0,7.367832e-17
441,2250168.8,8.984426e-17
442,5349661000.0,2.2994375e-13
443,19488530.0,8.308205e-16
444,397885.22,1.0225431e-17
445,373983.34,9.19803e-18
446,457264.47,1.2777798e-17
447,3019292400.0,1.2977484e-13
448,4497900.0,1.8646107e-16
449,772126900.0,3.318234e-14
450,3970137.2,1.6377563e-16
451,7066739000.0,3.0375087e-13
