Unnamed: 0,author,creation_date,expiry,last_reply,parent_category,price,replies,saving,source,thread_category,title,views,votes
24,amit33853,"jul 8th, 2020 11:25 am","july 4, 2020","jul 14th, 2020 2:23 pm",home & garden,$98,13,$202 off,visions electronics,outdoors & patio,monster glo2 outdoor bluetooth speaker for sale $98,2532,3
25,dskum,"jul 13th, 2020 10:23 am","august 30, 2020","jul 14th, 2020 1:49 pm",home & garden,14.99,5,$15.00,princess auto,other,4 pc 3 wheel dolly set - 14.99,3037,2
26,immad01,"jul 10th, 2020 5:11 pm","august 16, 2020","jul 14th, 2020 1:43 pm",entertainment,$36.00,30,$200,east side marios,other,family pizza/pasta deal for 4 - $36 (only valid for delivery or pickup),6156,-18
27,avatar12,"jul 10th, 2020 7:06 pm","july 23, 2020","jul 14th, 2020 1:05 pm",computers & electronics,free,13,100%,microsoft store,video games,ghost of tsushima dynamic theme - free,7685,60
28,siye,"jul 1st, 2020 12:22 pm","july 31, 2020","jul 14th, 2020 12:58 pm",home & garden,249.99,1,20% off,home depot,groceries,tea sante - 20% off sitewide (ohcanada),979,0
29,beardlessbard,"jul 13th, 2020 11:41 pm",_nan_,"jul 14th, 2020 12:54 pm",home & garden,14.92,5,35% off,amazon.ca,home & garden,keaty manual ceramic coffee burr grinder - $14.92 (35% off),3187,9
0,lebrond,"jul 14th, 2020 12:50 pm","june 22, 2020","jul 14th, 2020 12:50 pm",computers & electronics,14.36,0,_nan_,amazon.ca,cell phones,beemoon car phone mount $14.36,1221,1
1,leloiboi,"jul 14th, 2020 7:33 am","july 27, 2020","jul 14th, 2020 12:42 pm",home & garden,94.99,18,_nan_,amazon.ca,computers & electronics,wd black sn750 500gb m2 nvme ssd - $94.99,2712,3
2,rsg1010,"jul 13th, 2020 12:24 pm","july 23, 2020","jul 14th, 2020 12:29 pm",computers & electronics,329,21,70% off,best buy,other,ebay - take $5 off minimum purchase of $5.01 ymmv,4155,-4
3,chardo,"jul 14th, 2020 11:37 am","june 12, 2020","jul 14th, 2020 12:24 pm",beauty & wellness,2.00,5,56% off,walmart,beauty supplies & personal care,crest pro-health whitening power toothpaste & crest pro-health multi-protection cool wintergreen mouthwash,925,-2
4,tonershop,"jul 14th, 2020 11:43 am","july 10, 2020","jul 14th, 2020 12:07 pm",computers & electronics,29.99,2,10,amazon.ca,peripherals & accessories,aukey wireless charging power bank 8000mah $29.99,1097,-1
5,kk33tm,"jul 13th, 2020 1:19 pm","june 12, 2020","jul 14th, 2020 12:05 pm",computers & electronics,1299.99,14,29% off,dell,computers & tablets/ereaders,"dell g5 desktop i7-9700k, gtx 1660 ti $1300",3176,0
6,jepboi,"jul 6th, 2020 9:29 pm","july 12, 2020","jul 14th, 2020 12:05 pm",sports & fitness,1299.99,49,30%,freedom mobile,computers & electronics,gen 5 smartwatch the carlyle hr black stainless steel $205,11419,15
7,amma7853,"jul 12th, 2020 4:02 pm","july 7, 2020","jul 14th, 2020 12:02 pm",small business,439.99,21,$17,newegg,computers & electronics,palit geforce rtx 2060 stormx video card - $439,3674,-3
